################################################################################
IN SEQ: 	 b'to make life safe in america , we must also address the growing threats we face from outside the country : we are going to defeat the barbarians of isis , and we are going to defeat them fast .'
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'just a coincidence .'
GOLD SEQ: 	 b'just a coincidence .'
PRED SEQ:	 b'a coincidence .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.9965243, 0.0009970531, 0.00028239435, 9.848251e-06]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"but even more importantly , he ' s a brilliant physician and i hope he will be very much involved with my administration in the coming years ."
GOLD SEQ: 	 b"but even more importantly , he ' s a brilliant physician and i hope he will be very much involved with my administration in the coming years ."
PRED SEQ:	 b"but even more importantly , he ' s a physician and i hope he will be very much involved with my administration in the coming years ."
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.012891436, 0.0010352536, 2.8567316e-05, 5.6865378e-05, 7.405769e-06, 0.038310982, 0.06131648, 0.16540582, 0.0014037337, 0.9323973, 0.0005417128, 3.4681616e-05, 0.00019929463, 0.00022392307, 0.00014031518, 5.002055e-05, 5.236889e-06, 0.0015725506, 2.2566159e-05, 1.0359085e-05, 4.5884944e-06, 0.0019880598, 0.0002448649, 3.1958718e-06, 1.9737722e-06, 8.7255685e-06, 3.1677762e-06, 2.9638875e-06]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'he promised his plan would reduce premium ##s by $ 2 , 500 dollars .'
GOLD SEQ: 	 b'he promised his plan would reduce premium ##s by $ 2 , 500 dollars .'
PRED SEQ:	 b'he stated that his plan would reduce premium ##s by $ 2 , 500 dollars .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.012966014, 0.8023885, 0.015527917, 0.0024737404, 0.015321698, 0.0007013408, 0.0011761015, 9.648955e-05, 0.00014059912, 1.7288574e-05, 8.962727e-06, 2.8151806e-06, 6.740584e-05, 0.0024317894, 5.1431914e-05]
GOLD TOK: 	 []
PRED TOK: 	 [['stated', 'that']]
################################################################################
IN SEQ: 	 b'it was an amazing evening .'
GOLD SEQ: 	 b'it was an amazing evening .'
PRED SEQ:	 b'it was an evening .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.010408324, 0.09855607, 0.0021015182, 0.7846774, 0.0032232194, 0.00029604658]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'all religious leaders should be able to freely express their thoughts and feelings [ cheers and applause ] on religious matters .'
GOLD SEQ: 	 b'all religious leaders should be able to freely express their thoughts and feelings [ cheers and applause ] on religious matters .'
PRED SEQ:	 b'all religious leaders should be able to freely express their thoughts and feelings [ cheers and applause ] on religious matters .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.20182618, 0.005661232, 0.015168761, 0.8441247, 7.470255e-05, 0.0009531992, 6.346984e-06, 0.0020449627, 6.3196294e-06, 0.0008633453, 8.664313e-06, 3.9242855e-06, 8.4555795e-06, 1.7559789e-05, 0.00025601522, 1.2352149e-05, 0.00024278199, 8.503706e-05, 3.605594e-05, 0.0016954247, 0.0017269488, 2.1272974e-05]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'civil war , religious fan ##atic ##ism ; thousands of american lives , and many trillion ##s of dollars , were lost as a result .'
GOLD SEQ: 	 b'civil war , religious fan ##atic ##ism ; thousands of american lives , and many trillion ##s of dollars , were lost as a result .'
PRED SEQ:	 b'civil war , religious ; thousands of american lives ; thousands of american lives , and many trillion ##s of dollars , were lost as a result .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [3.1850643e-06, 9.507815e-06, 2.9821638e-06, 0.0009687648, 0.9989705, 0.99895346, 0.9968432, 2.3369234e-06, 3.2052333e-06, 7.023557e-07, 2.9671344e-06, 9.3739567e-07, 5.927484e-07, 9.583267e-07, 0.00011401893, 1.3775547e-06, 1.317719e-06, 7.4546796e-07, 2.3074188e-06, 6.2364524e-07, 1.0362554e-06, 1.0235197e-05, 6.258873e-07, 6.4552546e-07, 1.0801701e-06, 6.471077e-07]
GOLD TOK: 	 []
PRED TOK: 	 [[';', 'thousands', 'of', 'american', 'lives']]
################################################################################
IN SEQ: 	 b'no group has been more economically - harmed by decades of illegal immigration than low - income african - american workers .'
GOLD SEQ: 	 b'no group has been more economically - harmed by decades of illegal immigration than low - income african - american workers .'
PRED SEQ:	 b'no group has been more economically - harmed by decades of illegal immigration than low - income african - american workers .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.00575887, 0.006887485, 0.0011195586, 0.0042810836, 0.10780575, 0.10901344, 0.21264857, 0.520628, 0.00027589317, 0.0062358137, 3.735194e-05, 0.046781756, 0.00218676, 0.0008460149, 0.026882898, 0.0065506026, 0.01794792, 0.0014645687, 9.972355e-05, 0.00017180647, 0.011438551, 1.4820775e-05]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'they are dying .'
GOLD SEQ: 	 b'they are dying .'
PRED SEQ:	 b'they are said to be dying .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.20797896, 0.39258644, 0.40541753, 0.0010868416]
GOLD TOK: 	 []
PRED TOK: 	 [['said', 'to', 'be']]
################################################################################
IN SEQ: 	 b"it ' s time for a 21st century glass ste ##aga ##ll and , as part of that , a priority on helping african - american businesses get the credit they need ."
GOLD SEQ: 	 b"it ' s time for a 21st century glass ste ##aga ##ll and , as part of that , a priority on helping african - american businesses get the credit they need ."
PRED SEQ:	 b"it ' s time for a 21st century glass ste ##aga ##ll and , as part of that , a priority on helping african - american businesses get the credit they need ."
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0019907486, 0.00075566047, 0.00065502425, 0.0048668077, 0.00022902098, 0.001477539, 0.0010351687, 0.0017581441, 0.14461492, 0.38603076, 0.20234177, 0.36156535, 0.008522556, 3.8087703e-05, 5.0905463e-05, 0.0002211832, 1.701991e-05, 0.0002791971, 1.724214e-05, 0.005564853, 0.008067767, 0.00036410466, 0.2729474, 0.029136125, 0.0012284401, 0.005429667, 0.0019188776, 0.00060351804, 0.00010530539, 0.003575067, 0.010322753, 0.04574186, 3.1383024e-05]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'and soon .'
GOLD SEQ: 	 b'and soon .'
PRED SEQ:	 b'and .'
GOLD DIST: 	 [0.0, 0.0, 0.0]
PRED DIST: 	 [0.24499567, 0.5569981, 0.009496794]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"remember , they said they paid cash because they couldn ' t open a bank account ."
GOLD SEQ: 	 b"remember , they said they paid cash because they couldn ' t open a bank account ."
PRED SEQ:	 b"remember , they said they paid cash because they couldn ' t open a bank account ."
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.22625555, 5.8009115e-05, 0.28863207, 0.38264108, 0.0005129373, 0.0008871909, 0.0005491384, 0.070847094, 0.0012226816, 0.0004433469, 2.2150685e-05, 3.8553822e-05, 0.0001845143, 2.9589131e-05, 5.6514204e-05, 4.2281306e-05, 1.7095816e-05]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"right now , we don ' t have a good relationship ."
GOLD SEQ: 	 b"right now , we don ' t have a good relationship ."
PRED SEQ:	 b"right now , we don ' t have a relationship ."
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.072827466, 0.020401139, 5.9895072e-05, 0.32254976, 0.053844277, 0.015714658, 0.026123354, 0.002016197, 0.0009692652, 0.7734375, 0.0033237524, 0.00012798316]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'paris , the best , the tough ##est gun laws in the world , paris , france .'
GOLD SEQ: 	 b'paris , the best , the tough ##est gun laws in the world , paris , france .'
PRED SEQ:	 b'paris , the best , the tough ##est gun laws in the world , paris , france .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.20933157, 0.01989862, 0.21125369, 0.2737427, 0.0002905944, 0.0026718949, 0.041744877, 0.0012940783, 0.0007694924, 0.0036923897, 0.0001814515, 0.00019208512, 0.020274675, 0.0005481393, 0.0028676246, 5.1016992e-05, 0.001867072, 0.0004488563]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"in four years , there ' s no way ."
GOLD SEQ: 	 b"in four years , there ' s no way ."
PRED SEQ:	 b"in four years , there ' s no ."
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.03230871, 0.002685863, 0.00076827203, 8.580446e-05, 0.0076138563, 0.013311055, 0.033389132, 0.18617047, 0.7764974, 0.0015199605]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'or for our infrastructure to be repaired ?'
GOLD SEQ: 	 b'or for our infrastructure to be repaired ?'
PRED SEQ:	 b'or for the military or military infrastructure to be repaired ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.14789188, 0.014342341, 0.7942536, 0.012330669, 0.00056748523, 0.00034523045, 0.012447385, 0.022089373]
GOLD TOK: 	 []
PRED TOK: 	 [['the', 'military', 'or', 'military']]
################################################################################
IN SEQ: 	 b"in fact , he actually said , i ' ve never , ever seen anything like it ."
GOLD SEQ: 	 b"in fact , he actually said , i ' ve never , ever seen anything like it ."
PRED SEQ:	 b"in fact , he said , i ' ve never , ever seen anything like it ."
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.036263112, 0.01619398, 4.597952e-05, 0.2742859, 0.6643519, 0.050753348, 0.00010441924, 0.0021228346, 0.00011699216, 0.00046001814, 0.00057333434, 8.963949e-05, 0.001735397, 0.0009255357, 0.02074012, 0.013809377, 0.033564642, 0.00012753096]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"i will never back down from fighting to save america ' s inner cities ."
GOLD SEQ: 	 b"i will never back down from fighting to save america ' s inner cities ."
PRED SEQ:	 b"i will never back down from fighting america ' s inner cities ."
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.08472624, 0.3165652, 0.06277607, 0.00064764236, 7.424865e-05, 2.0034797e-05, 0.008659294, 0.0002898512, 0.43126512, 0.011718595, 2.0411633e-05, 5.508586e-05, 0.060872767, 0.00025508524, 0.00014019643]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"the documents show the clinton campaign col ##lu ##ding with the state department and justice department over the investigation into hillary ' s illegal email server that put your family and your country in danger ."
GOLD SEQ: 	 b"the documents show the clinton campaign col ##lu ##ding with the state department and justice department over the investigation into hillary ' s illegal email server that put your family and your country in danger ."
PRED SEQ:	 b"the documents show the clinton campaign with the state department and justice department over the investigation into hillary ' s illegal email server that put your family and your country in danger ."
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0001493423, 0.0004924541, 0.030344684, 2.6336745e-06, 2.6446833e-06, 4.9223727e-06, 0.6539412, 0.71134907, 0.6152198, 7.304285e-05, 1.9581398e-06, 2.42018e-06, 1.9402776e-06, 3.2498888e-06, 2.141682e-06, 2.5325096e-06, 6.697232e-05, 1.50044425e-05, 0.00043924124, 0.00025318534, 6.3055835e-05, 2.526997e-06, 9.046945e-06, 0.21343541, 5.4839566e-05, 0.00011934658, 0.008401267, 0.0004673412, 0.018911332, 4.9294335e-06, 2.43871e-06, 0.0020526643, 0.00037239742, 2.2981665e-06, 0.00022198181, 3.617057e-06]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'and he actually had a problem in texas with a certain religious leader .'
GOLD SEQ: 	 b'and he actually had a problem in texas with a certain religious leader .'
PRED SEQ:	 b'and he had a problem in texas with a certain religious leader .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.01477114, 0.053526442, 0.7180335, 0.0122523615, 0.0030311188, 0.04343326, 0.00022567417, 0.010920884, 0.00015912676, 0.0002353938, 0.20864373, 0.03731673, 0.014190526, 2.9692075e-05]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'we now begin a great national conversation about economic renewal for america .'
GOLD SEQ: 	 b'we now begin a great national conversation about economic renewal for america .'
PRED SEQ:	 b'we now begin a national conversation about economic renewal for america .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.8859588e-06, 2.6790958e-06, 1.4797675e-06, 1.0499934e-06, 0.99989986, 4.3759933e-06, 1.5870515e-06, 1.1165743e-06, 1.1418197e-06, 2.5733918e-06, 1.8045547e-06, 2.1548594e-06, 7.8605495e-07]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"i ' m doing this for the people , and this movement is just right and we will take back this country for you and make america great again ."
GOLD SEQ: 	 b"i ' m doing this for the people , and this movement is just right and we will take back this country for you and make america great again ."
PRED SEQ:	 b"i ' m doing this for the people , and this movement is just right and we will take back this country for you and make america great again ."
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.02646872, 0.0053419885, 0.015330622, 0.0053822286, 0.0105261905, 0.0061171255, 0.015191237, 0.034738827, 0.00013227586, 0.00044693841, 0.001018415, 0.011850121, 0.011975251, 0.13061786, 0.014832088, 0.002776158, 0.07841, 0.117527045, 0.003350831, 0.0015663885, 0.0003090273, 0.004276996, 0.0019031994, 0.1773815, 0.002407268, 0.0012752685, 0.0046452, 0.22533748, 0.018584577, 0.00013821309]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'god bless you , and good night !'
GOLD SEQ: 	 b'god bless you , and good night !'
PRED SEQ:	 b'god bless you , and good night !'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.2181512, 0.39712957, 0.041799445, 1.3581194e-05, 0.0010980926, 0.0048321104, 0.0015415766, 0.012575897]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'hillary is controlled by special interests who want to ship your jobs to other countries .'
GOLD SEQ: 	 b'hillary is controlled by special interests who want to ship your jobs to other countries .'
PRED SEQ:	 b'hillary is controlled by special interests who want to ship one to other countries .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0016350276, 0.0028466794, 0.0005750629, 7.7548575e-06, 0.005944281, 0.00036048022, 0.0002449016, 0.0016983803, 4.0866707e-06, 0.00016056173, 0.8918574, 0.00023989147, 5.4081825e-06, 0.00079553155, 0.00015436721, 1.1195759e-05]
GOLD TOK: 	 []
PRED TOK: 	 [['one']]
################################################################################
IN SEQ: 	 b'currently , only 7 % of employers provide these services .'
GOLD SEQ: 	 b'currently , only 7 % of employers provide these services .'
PRED SEQ:	 b'currently , 7 % of employers provide these services .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.00012208376, 1.577005e-06, 0.9991242, 5.3341505e-06, 1.6422231e-06, 9.764883e-07, 9.7915115e-05, 1.3603061e-05, 1.4845713e-05, 1.6988046e-05, 1.0470475e-06]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'years ago there was a show called the $ 64 , 000 question a contestant got the questions in advance , his life was ruined .'
GOLD SEQ: 	 b'years ago there was a show called the $ 64 , 000 question a contestant got the questions in advance , his life was ruined .'
PRED SEQ:	 b'years there was a show called the $ 64 , 000 question a contestant got the questions in advance , his life was ruined .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.08610351, 0.38133225, 4.8477028e-05, 3.6236357e-05, 9.863763e-05, 8.037253e-05, 0.00043565175, 5.925198e-05, 4.790744e-05, 6.1846326e-06, 2.5244126e-06, 1.2511368e-05, 5.5182336e-05, 3.8926024e-05, 8.682004e-05, 0.0003413315, 5.2876103e-06, 7.763205e-06, 3.387894e-06, 6.1384504e-05, 9.2064565e-06, 0.08313724, 0.00068910955, 0.00060011464, 0.36967066, 1.5051652e-05]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'we move our education locally .'
GOLD SEQ: 	 b'we move our education locally .'
PRED SEQ:	 b'we move education locally .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [4.1917694e-05, 3.3041295e-05, 0.99931324, 4.5375286e-06, 2.858282e-05, 2.8157901e-06]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"can ' t do it ."
GOLD SEQ: 	 b"can ' t do it ."
PRED SEQ:	 b"don ' t do it ."
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.6950578, 0.63048834, 0.3178744, 0.0069733807, 0.040890835, 0.023145808]
GOLD TOK: 	 []
PRED TOK: 	 [['don']]
################################################################################
IN SEQ: 	 b"and here ' s what ' s going to happen ."
GOLD SEQ: 	 b"and here ' s what ' s going to happen ."
PRED SEQ:	 b"and here ' s what it ' s going to happen ."
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.1598003, 0.058305554, 0.025051717, 0.019410117, 0.021507476, 0.17200641, 0.22802636, 0.08975774, 0.008647578, 0.11557635, 0.008764439]
GOLD TOK: 	 []
PRED TOK: 	 [['it']]
################################################################################
IN SEQ: 	 b'i speak to you today as a lifelong supporter and true friend of israel .'
GOLD SEQ: 	 b'i speak to you today as a lifelong supporter and true friend of israel .'
PRED SEQ:	 b'i speak to you today as a lifelong supporter and friend of israel .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0006860903, 4.9729235e-05, 2.7438948e-06, 0.03299705, 0.00027362435, 8.360729e-06, 6.0859743e-06, 7.662029e-05, 1.7880007e-05, 1.2720031e-05, 0.94530314, 0.000120824865, 3.7355776e-06, 0.002234996, 3.1999768e-06]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'we are going to take on the special interests , the lobby ##ists , and the corrupt corporate media that have rigged the system against everyday americans .'
GOLD SEQ: 	 b'we are going to take on the special interests , the lobby ##ists , and the corrupt corporate media that have rigged the system against everyday americans .'
PRED SEQ:	 b'we are going to take on the special interests , the lobby ##ists , and the corporate media that have rigged the system against everyday americans .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0019432554, 0.0016793117, 0.001421547, 5.1102866e-06, 3.9802715e-05, 5.0972085e-06, 0.0002527266, 0.0006487796, 1.7247403e-05, 4.999011e-06, 0.00052294857, 0.00016858394, 2.8918716e-05, 4.4519093e-06, 9.989563e-05, 0.026650378, 0.54998964, 0.1617512, 0.004998441, 0.018615793, 0.0779027, 0.050186757, 6.4185544e-05, 0.0018932988, 0.0035310774, 0.02035672, 0.0007553761, 1.3414561e-05]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'worse still , politicians have heap ##ed sc ##orn and disdain on these wonderful americans .'
GOLD SEQ: 	 b'worse still , politicians have heap ##ed sc ##orn and disdain on these wonderful americans .'
PRED SEQ:	 b'worse still , politicians have heap ##ed sc ##orn and disdain on these americans .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.00011313681, 1.8903755e-05, 1.1361528e-06, 2.36051e-05, 1.1593393e-05, 4.592289e-06, 2.8063428e-06, 2.7103656e-06, 4.067498e-06, 1.1415518e-06, 3.629926e-06, 1.3418403e-06, 0.0004305296, 0.9944119, 4.3759526e-05, 1.524603e-06]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"it ' s going to be a very busy first day ."
GOLD SEQ: 	 b"it ' s going to be a very busy first day ."
PRED SEQ:	 b"it ' s going to be a busy first day ."
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.07942159, 0.010852865, 0.014823527, 0.032684393, 0.001157472, 0.0009962649, 0.00063317275, 0.6526441, 0.11324807, 0.029343294, 0.0029531464, 0.00080713123]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"our politicians don ' t have a clue , they don ' t know what they ' re doing ##or other things , ok . we will also immediately stop the job killing trans - pacific partnership ."
GOLD SEQ: 	 b"our politicians don ' t have a clue , they don ' t know what they ' re doing ##or other things , ok . we will also immediately stop the job killing trans - pacific partnership ."
PRED SEQ:	 b"our politicians don ' t have a clue , they don ' t know what they ' re doing ##or other things , ok . we will also stop the job killing trans - pacific partnership ."
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0035690616, 0.0009595915, 5.710009e-06, 8.595549e-07, 1.2201818e-06, 1.5316112e-06, 1.2131619e-06, 4.3651976e-06, 1.2277001e-06, 7.632924e-05, 2.9951352e-06, 9.552608e-07, 1.3558279e-06, 1.9850247e-06, 1.2500137e-06, 3.3206366e-06, 1.0689009e-06, 1.5462582e-06, 1.8083275e-06, 0.0001994583, 3.5095374e-05, 4.380039e-06, 1.7211729e-06, 0.0012433027, 1.2044756e-06, 0.00041268402, 3.4511962e-05, 1.1769065e-05, 0.0006052799, 4.5948123e-06, 2.7727092e-06, 0.0001356105, 0.962559, 2.3552684e-05, 7.645166e-06, 5.8935393e-06, 0.0001358857, 3.6001838e-06]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'we want to be leading the world in production , exports and manufacturing .'
GOLD SEQ: 	 b'we want to be leading the world in production , exports and manufacturing .'
PRED SEQ:	 b'model to be leading the world in production , exports and manufacturing .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.8245074, 0.34906587, 3.5445242e-05, 0.00016017394, 0.044392403, 2.9280749e-05, 0.0034938212, 3.6729452e-06, 6.1590754e-06, 2.0466111e-06, 7.2145112e-06, 2.3959974e-06, 9.1695665e-06, 9.8531964e-05]
GOLD TOK: 	 []
PRED TOK: 	 [['model']]
################################################################################
IN SEQ: 	 b'we will fight for every last american job .'
GOLD SEQ: 	 b'we will fight for every last american job .'
PRED SEQ:	 b'we will fight for every last american job .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.058212433, 0.6523697, 0.024422608, 0.000119295146, 0.0008665579, 0.066089146, 0.014777721, 0.006342646, 3.9074086e-05]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"it ' s great to be here today ."
GOLD SEQ: 	 b"it ' s great to be here today ."
PRED SEQ:	 b"it ' s most well known to be here today ."
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.1081774, 0.2779559, 0.6015424, 0.87267095, 0.00039844963, 4.95675e-05, 0.006759816, 0.0003242528, 0.00015042075]
GOLD TOK: 	 []
PRED TOK: 	 [['most', 'well', 'known']]
################################################################################
IN SEQ: 	 b'they wanted their patents and all their secrets before they agreed to buy planes from boeing .'
