################################################################################
IN SEQ: 	 b'to make life safe in america , we must also address the growing threats we face from outside the country : we are going to defeat the barbarians of isis , and we are going to defeat them fast .'
GOLD SEQ: 	 b'he promised his plan would reduce premium ##s by $ 2 , 500 dollars .'
PRED SEQ:	 b'he said his plan would reduce premium ##s by $ 2 , 500 dollars .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.7393639, 0.57675314, 0.053861298, 0.66519856, 0.27220815, 0.4318242, 0.70147747, 0.81754065, 0.73456466, 0.49140292, 0.6149506, -0.23340677, 0.39138895, 1.0858946, 0.9275648]
GOLD TOK: 	 []
PRED TOK: 	 [['said']]
################################################################################
IN SEQ: 	 b'it was an amazing evening .'
GOLD SEQ: 	 b'it was an amazing evening .'
PRED SEQ:	 b'it was an popular evening .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.7509788, 0.73160523, 0.6552766, 0.71075124, 0.6622704, 0.72654605]
GOLD TOK: 	 []
PRED TOK: 	 [['popular']]
################################################################################
IN SEQ: 	 b'all religious leaders should be able to freely express their thoughts and feelings [ cheers and applause ] on religious matters .'
GOLD SEQ: 	 b'all religious leaders should be able to freely express their thoughts and feelings [ cheers and applause ] on religious matters .'
PRED SEQ:	 b'all religious leaders should be able to freely express their thoughts and feelings [ cheers and applause ] on religious matters .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.17659672, -0.023199603, 0.2792427, 0.26873088, 0.52120066, 0.4519016, 0.3878653, 0.31889254, 0.28327993, -0.061742358, 0.1534177, 0.040244132, 0.024158433, 0.24780144, 0.05971135, 0.055356413, 0.00047994405, 0.11530017, 0.14189953, 0.08601596, 0.2853871, 0.45942563]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'civil war , religious fan ##atic ##ism ; thousands of american lives , and many trillion ##s of dollars , were lost as a result .'
GOLD SEQ: 	 b'civil war , religious fan ##atic ##ism ; thousands of american lives , and many trillion ##s of dollars , were lost as a result .'
PRED SEQ:	 b'civil war , religious political advocacy ; thousands of american lives , and many trillion ##s of dollars , were lost as a result .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.43085283, 0.3504787, 0.32481098, 0.2367397, 0.5478396, 0.50081563, 0.5841957, 0.5367965, 0.57701, 0.7088498, 0.37656128, 0.39698553, 0.45064268, 0.37606937, 0.4760069, 0.6145184, 0.84814245, 0.6860117, 0.51256347, 0.7519984, 0.6519453, 0.5977298, 0.84183145, 0.7565789, 0.6918511, 0.8131461]
GOLD TOK: 	 []
PRED TOK: 	 [['political', 'advocacy']]
################################################################################
IN SEQ: 	 b'no group has been more economically - harmed by decades of illegal immigration than low - income african - american workers .'
GOLD SEQ: 	 b'no group has been more economically - harmed by decades of illegal immigration than low - income african - american workers .'
PRED SEQ:	 b'no group has been more economically - harmed by decades of immigration than low - income african - american workers .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.4052155, 0.59790313, 0.4832301, 0.45773166, 0.33935595, 0.465766, 0.49676526, 0.2375741, 0.20729683, 0.41052875, 0.5027519, 0.2858681, 0.6157039, 0.24415603, 0.07612764, 0.2433545, 0.39696538, 0.20304076, 0.36849552, 0.3125321, 0.6073629, 0.61941373]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'they are dying .'
GOLD SEQ: 	 b'they are dying .'
PRED SEQ:	 b'they are dying .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.4184398, 0.47612438, 0.4326057, 0.50801945]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"it ' s time for a 21st century glass ste ##aga ##ll and , as part of that , a priority on helping african - american businesses get the credit they need ."
GOLD SEQ: 	 b"it ' s time for a 21st century glass ste ##aga ##ll and , as part of that , a priority on helping african - american businesses get the credit they need ."
PRED SEQ:	 b"it ' s time for a 21st century glass ste ##aga ##ll and , as part of that , a priority on helping african - american businesses get the credit they need ."
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.28300568, -0.11429559, -0.18198992, 0.24180909, 0.117560506, -0.0026174188, -0.17297967, -0.23146479, 0.1316218, -0.01941277, -0.012611121, 0.3079622, 0.009280786, 0.20242134, 0.26472032, 0.5601149, 0.41746825, 0.17254731, -0.29974508, 0.012952536, -0.038024634, 0.2026959, 0.055091754, -0.09920284, -0.061215684, -0.10330638, 0.1375968, -0.036513448, -0.13003561, 0.16171944, 0.031377345, -0.029224277, 0.62996554]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'and soon .'
GOLD SEQ: 	 b'and soon .'
PRED SEQ:	 b'and soon .'
GOLD DIST: 	 [0.0, 0.0, 0.0]
PRED DIST: 	 [-0.037792996, 0.053845733, 0.013401911]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"remember , they said they paid cash because they couldn ' t open a bank account ."
GOLD SEQ: 	 b"remember , they said they paid cash because they couldn ' t open a bank account ."
PRED SEQ:	 b"remember , they said they paid cash because they couldn ' t open a bank account ."
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.38867122, 0.3133186, 0.42733198, 0.33083963, 0.30377203, 0.13782705, 0.2697713, 0.2294307, 0.17719294, 0.26794106, -0.32694432, 0.4512852, 0.28765488, 0.38059583, 0.2855832, 0.39549536, 0.4603359]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"right now , we don ' t have a good relationship ."
GOLD SEQ: 	 b"right now , we don ' t have a good relationship ."
PRED SEQ:	 b"right now , we don ' t have a popular relationship ."
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.41902062, 0.3276226, 0.43170524, 0.35169223, 0.33935487, -0.2286237, 0.50464237, 0.40207088, 0.4941799, 0.16688114, 0.51271206, 0.62021613]
GOLD TOK: 	 []
PRED TOK: 	 [['popular']]
################################################################################
IN SEQ: 	 b'paris , the best , the tough ##est gun laws in the world , paris , france .'
GOLD SEQ: 	 b'paris , the best , the tough ##est gun laws in the world , paris , france .'
PRED SEQ:	 b'paris , the most prominent , the tough ##est gun laws in the world , paris , france .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.13755977, -0.00692147, 0.06456359, 0.07872394, 0.04634662, 0.14249358, 0.25639802, 0.26668298, 0.2103056, 0.40037584, 0.23188439, 0.1093319, 0.10354471, -0.10134375, 0.15283608, -0.15694253, 0.036570273, 0.42308262]
GOLD TOK: 	 []
PRED TOK: 	 [['most', 'prominent']]
################################################################################
IN SEQ: 	 b"in four years , there ' s no way ."
GOLD SEQ: 	 b"in four years , there ' s no way ."
PRED SEQ:	 b"in four years , there ' s no way ."
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.31779206, 0.18067113, 0.23573966, 0.27610633, 0.26935476, 0.44132274, 0.6494986, 0.43270937, 0.39000523, 0.5015234]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'or for our infrastructure to be repaired ?'
GOLD SEQ: 	 b'or for our infrastructure to be repaired ?'
PRED SEQ:	 b'or for the united states infrastructure to be repaired ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.2924035, 0.20882784, 0.1328235, 0.24917504, 0.30428553, 0.44952655, 0.21409987, 0.50941724]
GOLD TOK: 	 []
PRED TOK: 	 [['the', 'united', 'states']]
################################################################################
IN SEQ: 	 b"in fact , he actually said , i ' ve never , ever seen anything like it ."
GOLD SEQ: 	 b"in fact , he actually said , i ' ve never , ever seen anything like it ."
PRED SEQ:	 b"in fact , he actually said , i ' ve never , ever seen anything like it ."
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.48803777, 0.14765486, 0.05807574, -0.15392444, 0.12181635, -0.0010273568, 0.11477499, 0.4533676, 0.18737024, 0.57169616, 0.72025317, 0.3090145, 0.8372016, 0.78407943, 0.98024136, 0.76688546, 0.9498892, 0.9093468]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"i will never back down from fighting to save america ' s inner cities ."
GOLD SEQ: 	 b"i will never back down from fighting to save america ' s inner cities ."
PRED SEQ:	 b"i will never back down from fighting to save america ' s inner cities ."
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.8323805, 0.6227311, 0.50233793, 0.38453227, 0.538854, 0.39505768, 0.2947543, 0.35494813, 0.38229564, 0.47166374, 0.1249904, 0.2795241, 0.3953402, 0.50562656, 0.72875285]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"the documents show the clinton campaign col ##lu ##ding with the state department and justice department over the investigation into hillary ' s illegal email server that put your family and your country in danger ."
GOLD SEQ: 	 b"the documents show the clinton campaign col ##lu ##ding with the state department and justice department over the investigation into hillary ' s illegal email server that put your family and your country in danger ."
PRED SEQ:	 b"the documents show the clinton campaign oppose with the state department and justice department over the investigation into hillary ' s illegal email server that put your family and your country in danger ."
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.63684, 0.8038682, 0.43590742, -0.13923615, 0.046952106, 0.052560605, 0.20018546, 0.28345886, 0.23378432, 0.16924009, 0.005618654, -0.07726529, 0.44029444, 0.27343315, 0.11687845, 0.38117665, 0.28001848, -0.042563185, 0.27420574, 0.26797366, 0.5123224, 0.28246596, 0.42040452, 0.38516498, 0.52670676, 0.65456575, 0.39373767, 0.059142016, 0.30423075, 0.24992445, 0.3384804, 0.17075162, 0.2653291, 0.36903718, 0.5798601, 0.8622488]
GOLD TOK: 	 []
PRED TOK: 	 [['oppose']]
################################################################################
IN SEQ: 	 b'and he actually had a problem in texas with a certain religious leader .'
GOLD SEQ: 	 b'and he actually had a problem in texas with a certain religious leader .'
PRED SEQ:	 b'and he actually had a problem in texas with a certain religious leader .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.7246257, 0.2431963, 0.3183287, 0.24818352, 0.503856, 0.4564911, 0.2014447, 0.3196748, 0.30213353, 0.33934873, 0.3187241, 0.18367845, 0.41222858, 0.8525256]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'we now begin a great national conversation about economic renewal for america .'
GOLD SEQ: 	 b'we now begin a great national conversation about economic renewal for america .'
PRED SEQ:	 b'we now begin a national conversation about economic renewal for america .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.56193763, 0.46378967, 0.35942882, 0.62256217, 0.30107585, 0.19482087, 0.2997505, 0.1295956, 0.1546952, 0.4690702, 0.47872347, 0.39514035, 0.8687212]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"i ' m doing this for the people , and this movement is just right and we will take back this country for you and make america great again ."
GOLD SEQ: 	 b"i ' m doing this for the people , and this movement is just right and we will take back this country for you and make america great again ."
PRED SEQ:	 b"i ' m doing this for the people , and this movement is just right and we will take back this country for you and make america '"
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.44862998, 0.13561088, -0.0007324368, -0.07649969, 0.046846226, -0.08749526, -0.20510596, 0.25334716, -0.025417283, 0.060862184, -0.16589871, -0.029561654, -0.08787833, -0.1536483, -0.18205318, 0.28702366, 0.19379592, 0.26483727, 0.030019283, 0.20309876, 0.06337836, -0.0061581433, 0.030383214, 0.22059272, 0.32963112, 0.33113524, 0.16359381, 0.2839011, 0.30205134, 0.4801318]
GOLD TOK: 	 []
PRED TOK: 	 [["'"]]
################################################################################
IN SEQ: 	 b'god bless you , and good night !'
GOLD SEQ: 	 b'god bless you , and good night !'
PRED SEQ:	 b'god bless you , and good night !'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.39872536, 0.2309455, 0.27706438, 0.35202694, 0.28461346, 0.073994905, 0.15313001, 0.33295426]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'hillary is controlled by special interests who want to ship your jobs to other countries .'
GOLD SEQ: 	 b'hillary is controlled by special interests who want to ship your jobs to other countries .'
PRED SEQ:	 b'hillary is controlled by special interests who want to ship your jobs to other countries .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.61008745, 0.40016812, 0.22769088, 0.22567533, 0.28138453, 0.37618548, 0.4764831, -0.09122868, 0.059428804, 0.009721443, 0.074902, 0.14781007, 0.12161349, 0.18396631, 0.35111642, 0.83670944]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'currently , only 7 % of employers provide these services .'
GOLD SEQ: 	 b'currently , only 7 % of employers provide these services .'
PRED SEQ:	 b'currently , 7 % of employers provide these services .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.59215343, 0.4837458, 0.2990201, 0.2966218, 0.46668103, 0.48249897, 0.45425528, 0.16602848, -0.060564622, 0.36070275, 0.7473512]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'years ago there was a show called the $ 64 , 000 question a contestant got the questions in advance , his life was ruined .'
GOLD SEQ: 	 b'years ago there was a show called the $ 64 , 000 question a contestant got the questions in advance , his life was ruined .'
PRED SEQ:	 b'years ago there was a show called the $ 64 , 000 question a contestant got the questions in advance , his life was ruined .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.31710845, 0.1539539, 0.5184684, 0.38399237, 0.41229463, 0.32521975, 0.22014248, 0.29737568, 0.047989137, 0.2331211, -0.018643923, 0.18055502, 0.20423889, 0.19998457, 0.20220138, 0.016358081, 0.009507978, 0.14084744, 0.07898748, 0.08588466, 0.37745333, -0.118326634, 0.079838485, 0.3032465, 0.2252426, 0.45647737]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'we move our education locally .'
GOLD SEQ: 	 b'we move our education locally .'
PRED SEQ:	 b'we move our education locally .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.4661177, 0.47994915, 0.3801347, 0.5530375, 0.49155223, 0.5864549]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"can ' t do it ."
GOLD SEQ: 	 b"can ' t do it ."
PRED SEQ:	 b"he ' t do it ."
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.24688056, 0.24250609, 0.31790444, 0.23189326, 0.024151295, 0.23636921]
GOLD TOK: 	 []
PRED TOK: 	 [['he']]
################################################################################
IN SEQ: 	 b"and here ' s what ' s going to happen ."
GOLD SEQ: 	 b"and here ' s what ' s going to happen ."
PRED SEQ:	 b"and the book , and the time , and the time , and what ' s what ' s going to"
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.5418988, 0.71680105, 0.52678835, 0.65882385, 0.597484, 0.352596, 0.6164016, 0.63688195, 0.59364575, 0.5698155, 0.70339555]
GOLD TOK: 	 []
PRED TOK: 	 [['the', 'book', ',', 'and', 'the', 'time', ',', 'and', 'the', 'time', ',', 'and', 'what']]
################################################################################
IN SEQ: 	 b'i speak to you today as a lifelong supporter and true friend of israel .'
GOLD SEQ: 	 b'i speak to you today as a lifelong supporter and true friend of israel .'
PRED SEQ:	 b'i speak to you today as a lifelong supporter and friend of israel .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.49004868, 0.59439486, 0.5774139, 0.4319609, 0.48708773, 0.6922746, 0.64046407, 0.4228105, 0.57942355, 0.53443754, 0.40302408, 0.63079774, 0.4889272, 0.26630288, 0.55937445]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'we are going to take on the special interests , the lobby ##ists , and the corrupt corporate media that have rigged the system against everyday americans .'
GOLD SEQ: 	 b'we are going to take on the special interests , the lobby ##ists , and the corrupt corporate media that have rigged the system against everyday americans .'
PRED SEQ:	 b'we are going to take on the special interests , the lobby ##ists , and the corporate media that have rigged the system against everyday americans .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.6892949, 0.6654653, 0.43334436, 0.29209727, 0.11811236, 0.29743105, 0.15911648, -0.031643324, 0.18575385, 0.1435839, -0.06508258, 0.11453544, 0.53004164, -0.33747435, 0.33188945, 0.31914622, 0.14630726, 0.14750019, 0.3611679, 0.7720801, 0.3116447, 0.11550395, -0.06370501, -0.0101606585, 0.09510094, 0.31232733, 0.51242584, 0.8601004]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'worse still , politicians have heap ##ed sc ##orn and disdain on these wonderful americans .'
GOLD SEQ: 	 b'worse still , politicians have heap ##ed sc ##orn and disdain on these wonderful americans .'
PRED SEQ:	 b'worse still , politicians have heap ##ed sc ##orn and disdain on these americans .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.92036474, 0.6761732, -0.028198987, 0.25760138, 0.3447237, 0.32019502, 0.34994322, 0.19343926, 0.49068666, 0.6322457, 0.34339207, 0.49686778, 0.2200675, 0.5370882, 0.68270373, 1.0566347]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"it ' s going to be a very busy first day ."
GOLD SEQ: 	 b"it ' s going to be a very busy first day ."
PRED SEQ:	 b"it ' s going to be a busy first day ."
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.81237847, 0.73250675, 0.9888526, 1.0098339, 0.9030559, 0.90762204, 0.8141806, 0.7306925, 0.7306704, 0.90431917, 0.68114376, 0.85428977]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"our politicians don ' t have a clue , they don ' t know what they ' re doing ##or other things , ok . we will also immediately stop the job killing trans - pacific partnership ."
GOLD SEQ: 	 b"our politicians don ' t have a clue , they don ' t know what they ' re doing ##or other things , ok . we will also immediately stop the job killing trans - pacific partnership ."
PRED SEQ:	 b"our politicians don ' t have a clue , they don ' t know what they ' re doing ##or other things , ok . we will also immediately stop the job killing trans - pacific partnership ."
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.29733777, 0.24928698, 0.48926318, 0.12511942, 0.60397035, 0.43744868, 0.47919834, 0.44579726, 0.2514514, 0.49726042, 0.46137008, -0.22199863, 0.63245153, 0.26884365, 0.111869335, 0.24186485, 0.067616306, 0.4064166, 0.25258523, 0.60161924, 0.2099821, 0.26011977, 0.4586665, 0.3802278, 0.48513496, 0.14298508, 0.45250952, 0.20128918, 0.3102798, 0.18433979, -0.077356234, 0.12645501, 0.18265603, 0.064205736, 0.07772298, -0.0065102726, 0.13380994, 0.45545304]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'we want to be leading the world in production , exports and manufacturing .'
GOLD SEQ: 	 b'we want to be leading the world in production , exports and manufacturing .'
PRED SEQ:	 b'the people want to be leading the world in production , exports and manufacturing .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.31044525, 0.2761905, 0.37652922, 0.32754204, 0.25245535, 0.11595463, 0.2206582, 0.1363358, 0.5806123, 0.18580543, 0.3189571, 0.3012337, 0.32579383, 0.49146914]
GOLD TOK: 	 []
PRED TOK: 	 [['the', 'people']]
################################################################################
IN SEQ: 	 b'we will fight for every last american job .'
GOLD SEQ: 	 b'we will fight for every last american job .'
PRED SEQ:	 b'we will fight for every american job .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.30606282, 0.18644805, 0.08636657, 0.11834437, 0.21699502, 0.12226781, 0.12526524, 0.35797676, 0.45776343]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"it ' s great to be here today ."
GOLD SEQ: 	 b"it ' s great to be here today ."
PRED SEQ:	 b"it ' s possible to be here today ."
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.7724037, 0.6216842, 0.71486914, 0.7260086, 0.63857204, 0.67091554, 0.7904011, 0.5991937, 0.66018504]
GOLD TOK: 	 []
PRED TOK: 	 [['possible']]
################################################################################
IN SEQ: 	 b'they wanted their patents and all their secrets before they agreed to buy planes from boeing .'
GOLD SEQ: 	 b'they wanted their patents and all their secrets before they agreed to buy planes from boeing .'
PRED SEQ:	 b'they wanted their patents and all their events before they agreed to buy planes from boeing .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.4489559, 0.26462755, 0.3554556, 0.6537771, 0.52341694, 0.5390582, 0.2466614, 0.47104138, 0.40310967, 0.27635345, 0.16646537, 0.14140223, 0.04367368, 0.30429754, 0.2168394, 0.3717463, 0.93628216]
GOLD TOK: 	 []
PRED TOK: 	 [['events']]
################################################################################
IN SEQ: 	 b"you ' re african - american ."
GOLD SEQ: 	 b"you ' re african - american ."
PRED SEQ:	 b"you ' re - american ."
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.5786694, 0.41968453, 0.4920952, 0.49350822, 0.6201714, 0.66359234, 0.6590475]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"if we don ' t get the deal we want , we ' ll leave na ##ft ##a and start over to get a much better deal ."
GOLD SEQ: 	 b"if we don ' t get the deal we want , we ' ll leave na ##ft ##a and start over to get a much better deal ."
PRED SEQ:	 b"if we don ' t get the deal we want , we ' ll leave na ##ft ##a and start over to get a better deal ."
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.5273986, 0.3220486, 0.53284466, -0.1921302, 0.534724, 0.38325226, 0.31387436, 0.461397, 0.37978274, 0.23510022, 0.1328405, 0.19621426, -0.21389836, 0.3837753, 0.09301482, 0.041353464, 0.62349576, 0.20932576, 0.3195346, 0.33237818, 0.16943437, 0.22727077, 0.03260921, 0.33583277, 0.34188038, -0.06416687, 0.28424543, 0.73354375]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'democrats have run these inner cities for half a century .'
GOLD SEQ: 	 b'democrats have run these inner cities for half a century .'
PRED SEQ:	 b'democrats have run these inner cities for half a century .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.25178352, 0.28248268, 0.28575903, -0.011321649, -0.05933486, 0.20415902, 0.32459858, 0.35525918, 0.44698116, 0.28416952, 0.40699637]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"she doesn ' t expose whatever ' s going on up here ."
GOLD SEQ: 	 b"she doesn ' t expose whatever ' s going on up here ."
PRED SEQ:	 b"she doesn ' t expose whatever whatever ' s going on up here ."
