################################################################################
IN SEQ: 	 b'to make life safe in america , we must also address the growing threats we face from outside the country : we are going to defeat the of isis , and we are going to defeat them fast .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.452863, 0.05474475, 0.0009003386, 0.0010657574, 4.6800662e-05, 0.08762813, 0.003066147, 0.016143743, 0.017399414, 0.020157473, 0.0009508455, 0.01783171, 0.012349975, 0.013893068, 0.0035337748, 7.8017234e-05, 0.089480475, 0.0017430434, 0.00041443738, 6.912691e-05, 0.20092176, 0.06493092, 4.0265044e-05, 1.2805425e-05, 0.00032690604, 4.1771287e-05, 3.1932654e-05]
GOLD TOK: 	 [['brilliant']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'he stated that his plan would reduce premium ##s by $ 2 , 500 dollars .'
GOLD SEQ: 	 b'he promised his plan would reduce premium ##s by $ 2 , 500 dollars .'
PRED SEQ:	 b'he stated that his plan would reduce premium ##s by $ 2 , 500 dollars .'
GOLD DIST: 	 [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.030423006, 0.4064203, 0.00021940835, 0.068558775, 0.011439824, 0.05525444, 0.010462636, 0.0052411854, 0.0016037578, 0.003312517, 6.6105575e-05, 2.3155657e-05, 4.922631e-06, 0.0002035331, 0.020700904, 4.5966106e-05]
GOLD TOK: 	 [['promised']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'it was an evening .'
GOLD SEQ: 	 b'it was an amazing evening .'
PRED SEQ:	 b'it was an evening .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.11163017, 0.6740167, 0.20873475, 0.024642315, 0.000713026]
GOLD TOK: 	 [['amazing']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'all religious leaders should be able to freely express their thoughts and feelings [ cheers and applause ] on religious matters .'
GOLD SEQ: 	 b'all religious leaders should be able to freely express their thoughts and feelings [ cheers and applause ] on religious matters .'
PRED SEQ:	 b'all religious leaders should be able to freely express their thoughts and feelings [ cheers and applause ] on religious matters .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.20182618, 0.005661232, 0.015168761, 0.84477544, 7.4854506e-05, 0.0009531992, 6.346984e-06, 0.0020449627, 6.3196294e-06, 0.0008518179, 8.664313e-06, 3.9242855e-06, 8.4555795e-06, 1.7559789e-05, 0.0002562345, 1.2352149e-05, 0.00024278199, 8.503706e-05, 3.605594e-05, 0.0016954247, 0.0017269488, 2.1272974e-05]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'civil war , religious ; thousands of american lives ; thousands of american lives , and many trillion ##s of dollars , were lost as a result .'
GOLD SEQ: 	 b'civil war , religious fan ##atic ##ism ; thousands of american lives , and many trillion ##s of dollars , were lost as a result .'
PRED SEQ:	 b'civil war , thousands of american lives ; thousands of american lives , and many trillion ##s of dollars , were lost as a result .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0015489778, 0.1065654, 7.017733e-05, 0.8036275, 0.00014761015, 0.00015897282, 3.4637494e-06, 0.00014561506, 3.3096072e-05, 1.7138698e-05, 8.152438e-05, 2.7774122e-06, 0.000108154396, 1.14115755e-05, 1.7926747e-06, 7.825165e-06, 0.028707372, 5.317782e-05, 3.8006103e-05, 4.305447e-06, 0.00021248905, 2.2688787e-06, 2.5632111e-05, 0.0026305476, 2.8746115e-06, 2.9630594e-06, 2.2271102e-05, 3.0693277e-06]
GOLD TOK: 	 [['fan', '##atic', '##ism']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'no group has been more economically - harmed by decades of illegal immigration than low - income african - american workers .'
GOLD SEQ: 	 b'no group has been more economically - harmed by decades of illegal immigration than low - income african - american workers .'
PRED SEQ:	 b'no group has been more economically - harmed by decades of illegal immigration than low - income african - american workers .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.00575887, 0.006887485, 0.0011291718, 0.0043170936, 0.10780575, 0.10901344, 0.21264857, 0.520628, 0.00027589317, 0.0062358137, 3.735194e-05, 0.046781756, 0.00218676, 0.0008460149, 0.026882898, 0.0065506026, 0.01794792, 0.0014645687, 9.972355e-05, 0.00017180647, 0.011438551, 1.4820775e-05]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'they are said to be dying .'
GOLD SEQ: 	 b'they are dying .'
PRED SEQ:	 b'they are said to be .'
GOLD DIST: 	 [0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0]
PRED DIST: 	 [0.091998704, 0.020273639, 0.4465784, 0.00013597305, 0.0010406079, 0.41288242, 0.0008433813]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"it ' s time for a 21st century glass ste ##aga ##ll and , as part of that , a priority on helping african - american businesses get the credit they need ."
GOLD SEQ: 	 b"it ' s time for a 21st century glass ste ##aga ##ll and , as part of that , a priority on helping african - american businesses get the credit they need ."
PRED SEQ:	 b"it ' s time for a 21st century glass ste ##aga ##ll and , as part of that , a priority on helping african - american businesses get the credit they need ."
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0019907486, 0.00075566047, 0.00065421785, 0.0048668077, 0.00022766442, 0.001477539, 0.0010351687, 0.0017581441, 0.14445058, 0.38551077, 0.20198779, 0.36105892, 0.008522556, 3.8087703e-05, 5.0905463e-05, 0.0002211832, 1.701991e-05, 0.00027925728, 1.724214e-05, 0.005564853, 0.008039365, 0.00036410466, 0.2729474, 0.029136125, 0.0012284401, 0.005429667, 0.0019188776, 0.00060143054, 0.00010530539, 0.003575067, 0.010322753, 0.04574186, 3.1383024e-05]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'and .'
GOLD SEQ: 	 b'and soon .'
PRED SEQ:	 b'and .'
GOLD DIST: 	 [0.0, 0.0]
PRED DIST: 	 [0.50727445, 0.16490209]
GOLD TOK: 	 [['soon']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"remember , they said they paid cash because they couldn ' t open a bank account ."
GOLD SEQ: 	 b"remember , they said they paid cash because they couldn ' t open a bank account ."
PRED SEQ:	 b"remember , they said they paid cash because they couldn ' t open a bank account ."
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.22625555, 5.8009115e-05, 0.28863207, 0.38264108, 0.0005129373, 0.0008871909, 0.0005491384, 0.07113684, 0.0012226816, 0.0004464849, 2.2150685e-05, 3.8414397e-05, 0.00018466743, 2.9589131e-05, 5.6514204e-05, 4.2281306e-05, 1.7095816e-05]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"right now , we don ' t have a relationship ."
GOLD SEQ: 	 b"right now , we don ' t have a good relationship ."
PRED SEQ:	 b"now , we don ' t have a relationship ."
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.4870641, 0.122476324, 0.00010504803, 0.5463062, 0.050392047, 0.021020157, 0.025720531, 0.006130688, 0.008342142, 0.02069, 0.00065180194]
GOLD TOK: 	 [['good']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'paris , the best , the tough ##est gun laws in the world , paris , france .'
GOLD SEQ: 	 b'paris , the best , the tough ##est gun laws in the world , paris , france .'
PRED SEQ:	 b'paris , the best , the tough ##est gun laws in the world , paris , france .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.20917335, 0.01989862, 0.21125369, 0.2737427, 0.0002905944, 0.0026718949, 0.041744877, 0.0012940783, 0.0007694924, 0.0036717674, 0.0001814515, 0.00019208512, 0.020274675, 0.0005481393, 0.002842173, 5.1016992e-05, 0.0018594116, 0.0004488563]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"in four years , there ' s no ."
GOLD SEQ: 	 b"in four years , there ' s no way ."
PRED SEQ:	 b"in four years , there ' s ."
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.05064579, 0.01718133, 0.0060651917, 0.00029138062, 0.09027736, 0.06373196, 0.2153886, 0.47986776, 0.075312175]
GOLD TOK: 	 [['way']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'or for the military or military infrastructure to be repaired ?'
GOLD SEQ: 	 b'or for our infrastructure to be repaired ?'
PRED SEQ:	 b'or for the military or military infrastructure to be repaired ?'
GOLD DIST: 	 [0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.34623593, 0.05450014, 0.004444365, 0.08934719, 0.0060011633, 0.1513765, 0.06694043, 0.0039443276, 0.0010348097, 0.13312559, 0.25377864]
GOLD TOK: 	 [['our']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"in fact , he said , i ' ve never , ever seen anything like it ."
GOLD SEQ: 	 b"in fact , he actually said , i ' ve never , ever seen anything like it ."
PRED SEQ:	 b"in fact , the person ' s ve never , i ' ve seen anything like it ."
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.030083021, 0.031482685, 4.8264843e-05, 0.59879535, 0.60911334, 4.8378846e-05, 0.0012586507, 5.008695e-05, 0.00018766154, 0.00029925292, 7.094982e-05, 0.0011762236, 0.00064005, 0.011685468, 0.0068883654, 0.027428899, 6.176983e-05]
GOLD TOK: 	 [['actually']]
PRED TOK: 	 [['the', 'person', "'", 's', 've', 'never']]
################################################################################
IN SEQ: 	 b"i will never back down from fighting america ' s inner cities ."
GOLD SEQ: 	 b"i will never back down from fighting to save america ' s inner cities ."
PRED SEQ:	 b"i will never back down from fighting america ' s inner cities ."
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.08789398, 0.35339966, 0.09324198, 0.0013195542, 0.00025965882, 3.9352602e-05, 0.16758287, 0.043885227, 0.00014831685, 0.0006911689, 0.0763955, 0.001131337, 0.00035517977]
GOLD TOK: 	 [['to', 'save']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"the documents show the clinton campaign with the state department and justice department over the investigation into hillary ' s illegal email server that put your family and your country in danger ."
GOLD SEQ: 	 b"the documents show the clinton campaign col ##lu ##ding with the state department and justice department over the investigation into hillary ' s illegal email server that put your family and your country in danger ."
PRED SEQ:	 b"the documents show the clinton campaign with the state department and justice department over the investigation into hillary ' s email server that put your family and your country in danger ."
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.00047372922, 0.00053593813, 0.041321315, 7.3343726e-06, 1.20456425e-05, 0.00014650293, 0.001351489, 4.5235342e-06, 8.21374e-06, 4.2178785e-06, 1.1100893e-05, 6.5102176e-06, 5.9096187e-06, 0.007610906, 7.758847e-05, 0.0010066224, 0.0015071535, 0.0002348439, 6.733851e-06, 5.826864e-05, 0.5201799, 0.00027962655, 0.0005898086, 0.040671125, 0.0020315084, 0.20996065, 1.3753856e-05, 5.003041e-06, 0.02829712, 0.0012135156, 5.9270196e-06, 0.00096202095, 1.4092117e-05]
GOLD TOK: 	 [['col', '##lu', '##ding']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'and he had a problem in texas with a certain religious leader .'
GOLD SEQ: 	 b'and he actually had a problem in texas with a certain religious leader .'
PRED SEQ:	 b'and he had a problem in texas with a religious leader .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0148770735, 0.07626436, 0.091399044, 0.021593306, 0.16156434, 0.00058085524, 0.017339356, 0.0006025051, 0.0011148035, 0.5719039, 0.07520536, 0.030664546, 4.3304004e-05]
GOLD TOK: 	 [['actually']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'we now begin a national conversation about economic renewal for america .'
GOLD SEQ: 	 b'we now begin a great national conversation about economic renewal for america .'
PRED SEQ:	 b'we now begin a national conversation about economic renewal for america .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.030316262, 0.18159291, 0.0041472362, 0.0037036897, 0.32089496, 0.08963104, 0.042513747, 0.00893407, 0.07891163, 0.07474465, 0.08964027, 0.0002642948]
GOLD TOK: 	 [['great']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"i ' m doing this for the people , and this movement is just right and we will take back this country for you and make america great again ."
GOLD SEQ: 	 b"i ' m doing this for the people , and this movement is just right and we will take back this country for you and make america great again ."
PRED SEQ:	 b"i ' m doing this for the people , and this movement is just right and we will take back this country for you and make america great again ."
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.02646872, 0.0054544797, 0.015461469, 0.0053822286, 0.010507304, 0.0060373815, 0.015191237, 0.034738827, 0.00013227586, 0.00044693841, 0.001018415, 0.011850121, 0.012079425, 0.13061786, 0.014832088, 0.002776158, 0.07841, 0.118180305, 0.003350831, 0.0015663885, 0.0003090273, 0.004276996, 0.0019031994, 0.1773815, 0.002407268, 0.0012752685, 0.0046228236, 0.22533748, 0.018584577, 0.00013821309]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'god bless you , and good night !'
GOLD SEQ: 	 b'god bless you , and good night !'
PRED SEQ:	 b'god bless you , and good night !'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.21756478, 0.39712957, 0.041799445, 1.3581194e-05, 0.0010980926, 0.0048321104, 0.0015415766, 0.012575897]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'hillary is controlled by special interests who want to ship one to other countries .'
GOLD SEQ: 	 b'hillary is controlled by special interests who want to ship your jobs to other countries .'
PRED SEQ:	 b'hillary is controlled by special interests who want to ship one to other countries .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.05623078, 0.1633856, 0.06631814, 0.00024930597, 0.34213358, 0.04509952, 0.008791523, 0.044042733, 1.0630237e-05, 0.0011048648, 0.009285569, 3.4925964e-05, 0.033048596, 0.014986671, 0.00015107161]
GOLD TOK: 	 [['your', 'jobs']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'currently , 7 % of employers provide these services .'
GOLD SEQ: 	 b'currently , only 7 % of employers provide these services .'
PRED SEQ:	 b'currently , 7 % of employers provide these services .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.15091111, 2.325236e-05, 0.001348397, 0.0002122416, 3.5716963e-05, 0.6929109, 0.010650807, 0.036458682, 0.016815493, 6.1303195e-05]
GOLD TOK: 	 [['only']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'years there was a show called the $ 64 , 000 question a contestant got the questions in advance , his life was ruined .'
GOLD SEQ: 	 b'years ago there was a show called the $ 64 , 000 question a contestant got the questions in advance , his life was ruined .'
PRED SEQ:	 b'years there was a show called the $ 64 , 000 question a contestant got the questions in advance , his life was .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0003291979, 3.0505516e-05, 0.000111112895, 0.00011686473, 8.468037e-05, 0.0005368587, 2.6269363e-05, 4.0209063e-05, 5.660541e-06, 2.0063578e-06, 1.0473937e-05, 5.5881457e-05, 3.4353994e-05, 5.9034388e-05, 0.00050481234, 4.709296e-06, 8.75111e-06, 3.4174036e-06, 6.8501606e-05, 7.684391e-06, 0.20587768, 0.0018766634, 0.0018576921, 0.6463689, 4.168314e-06]
GOLD TOK: 	 [['ago']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'we move education locally .'
GOLD SEQ: 	 b'we move our education locally .'
PRED SEQ:	 b'we move education locally .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.24889013, 0.43887183, 0.020574627, 0.17879163, 0.001432879]
GOLD TOK: 	 [['our']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"don ' t do it ."
GOLD SEQ: 	 b"can ' t do it ."
PRED SEQ:	 b"don ' t do it ."
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.67558163, 0.66121626, 0.20276563, 0.006748051, 0.031170577, 0.114665724]
GOLD TOK: 	 [['can']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"and here ' s what it ' s going to happen ."
GOLD SEQ: 	 b"and here ' s what ' s going to happen ."
PRED SEQ:	 b"and here ' s what it saw as it ' s going to happen ."
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.1997787, 0.066035494, 0.021206714, 0.019106159, 0.039029047, 0.13485283, 0.049532466, 0.088189974, 0.026415946, 0.001545746, 0.05280956, 0.005959696]
GOLD TOK: 	 []
PRED TOK: 	 [['it', 'saw', 'as']]
################################################################################
IN SEQ: 	 b'i speak to you today as a lifelong supporter and friend of israel .'
GOLD SEQ: 	 b'i speak to you today as a lifelong supporter and true friend of israel .'
PRED SEQ:	 b'i speak to you today as a lifelong supporter and friend of israel .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.013953768, 0.001156705, 1.4278897e-05, 0.6119322, 0.008725033, 4.94672e-05, 6.784598e-05, 0.011975856, 0.00046329177, 2.4211831e-05, 0.0030587416, 6.778033e-05, 0.17727803, 2.6058548e-05]
GOLD TOK: 	 [['true']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'we are going to take on the special interests , the lobby ##ists , and the corporate media that have rigged the system against everyday americans .'
GOLD SEQ: 	 b'we are going to take on the special interests , the lobby ##ists , and the corrupt corporate media that have rigged the system against everyday americans .'
PRED SEQ:	 b'we are going to take on the special interests , the lobby ##ists , and the corporate media that have rigged the system against everyday americans .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.007743671, 0.008969019, 0.006884615, 1.1385867e-05, 0.00016781523, 7.918321e-06, 0.0019414972, 0.002412461, 3.294753e-05, 5.4998277e-06, 0.00225627, 0.0005446429, 4.2312287e-05, 4.828653e-06, 6.0962622e-05, 0.025880668, 0.18059123, 0.01469929, 0.1096946, 0.19667791, 0.22816718, 0.00023034545, 0.0209403, 0.038725164, 0.11828048, 0.007973864, 2.4361172e-05]
GOLD TOK: 	 [['corrupt']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'worse still , politicians have heap ##ed sc ##orn and disdain on these americans .'
GOLD SEQ: 	 b'worse still , politicians have heap ##ed sc ##orn and disdain on these wonderful americans .'
PRED SEQ:	 b'worse still , politicians have heap ##ed sc ##orn and disdain on these americans .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.319987, 0.13474707, 2.2775765e-05, 0.038497545, 0.0059961965, 0.003701048, 0.0031679391, 0.0021427579, 0.0021214616, 3.5533914e-05, 0.0025745253, 2.4633639e-05, 0.228715, 0.10200169, 0.00013345806]
GOLD TOK: 	 [['wonderful']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"it ' s going to be a busy first day ."
GOLD SEQ: 	 b"it ' s going to be a very busy first day ."
PRED SEQ:	 b"it ' s going to be a first day ."
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.113142714, 0.011866667, 0.022747777, 0.046656277, 0.0008846834, 0.0013005913, 0.0012049864, 0.5466454, 0.06079719, 0.004464971, 0.0011365527]
GOLD TOK: 	 [['very']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"our politicians don ' t have a clue , they don ' t know what they ' re doing ##or other things , ok . we will also stop the job killing trans - pacific partnership ."
GOLD SEQ: 	 b"our politicians don ' t have a clue , they don ' t know what they ' re doing ##or other things , ok . we will also immediately stop the job killing trans - pacific partnership ."
PRED SEQ:	 b"our politicians don ' t have a clue , they don ' t know what they ' re doing ##or other things , ok . we will also stop the job killing trans - pacific partnership ."
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.013279403, 0.0022161799, 1.0656942e-05, 1.0305158e-06, 1.5835124e-06, 2.051506e-06, 1.5978753e-06, 7.0063234e-06, 1.6018437e-06, 0.00016978059, 4.7263075e-06, 1.1988442e-06, 1.8329163e-06, 2.8670004e-06, 1.6869136e-06, 5.5684045e-06, 1.4106608e-06, 2.3073155e-06, 2.7100477e-06, 0.00052675675, 7.9528705e-05, 8.278287e-06, 2.6332525e-06, 0.0037953893, 1.7185159e-06, 0.004060219, 0.0004537723, 7.9749174e-05, 2.0049247e-05, 5.223417e-06, 0.00023566978, 0.9211761, 6.0595674e-05, 1.6942875e-05, 1.0407565e-05, 0.0003418333, 8.73261e-06]
GOLD TOK: 	 [['immediately']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'model to be leading the world in production , exports and manufacturing .'
GOLD SEQ: 	 b'we want to be leading the world in production , exports and manufacturing .'
PRED SEQ:	 b'model is considered to be leading the world in production , exports and manufacturing .'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.34347287, 0.3734962, 0.03900551, 0.2018008, 4.98418e-05, 0.016737146, 4.762018e-06, 7.893085e-06, 2.3297205e-06, 1.2997009e-05, 2.7835824e-06, 1.40175525e-05, 5.3533735e-05]
GOLD TOK: 	 [['we', 'want']]
PRED TOK: 	 [['is', 'considered']]
################################################################################
IN SEQ: 	 b'we will fight for every last american job .'
GOLD SEQ: 	 b'we will fight for every last american job .'
PRED SEQ:	 b'we will fight for every last american job .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.058212433, 0.65392774, 0.024422608, 0.000119295146, 0.0008665579, 0.066089146, 0.014777721, 0.006342646, 3.9074086e-05]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"it ' s most well known to be here today ."
GOLD SEQ: 	 b"it ' s great to be here today ."
PRED SEQ:	 b"it ' s most well known to be here ."
GOLD DIST: 	 [0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.025566291, 0.001559031, 0.0021212415, 0.14270984, 0.5114474, 0.15827106, 0.0009462762, 0.000324391, 0.2477688, 0.023702838, 0.00021939246]
GOLD TOK: 	 [['great']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'they wanted their patents and all their secrets before they agreed to buy planes from boeing .'
GOLD SEQ: 	 b'they wanted their patents and all their secrets before they agreed to buy planes from boeing .'
PRED SEQ:	 b'they wanted their patents and all their secrets before they agreed to buy planes from boeing .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.02825944, 0.06637705, 0.023565762, 0.00096352346, 7.372523e-05, 0.054586332, 0.0044469438, 0.57812864, 0.00012830233, 0.0005320257, 7.5682154e-05, 4.4678586e-06, 0.0011085338, 0.006394098, 6.5073706e-05, 0.0030836465, 0.00028196577]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"you ' re a successful film ."
GOLD SEQ: 	 b"you ' re african - american ."
PRED SEQ:	 b"you ' re a film ."
GOLD DIST: 	 [0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0]
PRED DIST: 	 [0.010239836, 0.004177657, 0.136353, 0.004186562, 0.682014, 0.0014519444, 0.00015443256]
GOLD TOK: 	 [['african', '-', 'american']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"if we don ' t get the deal we want , we ' ll leave na ##ft ##a and start over to get a better deal ."
